id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
25770,13898,Lucky & Wild,"Two buddy cops on a mission to bring down a mafia gang. Player 1 (Lucky) both drives the car and fires a gun, Player 2 (Wild) uses just a gun.",1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25928,40307,Dragon Gun,NULL,1992-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26045,12066,Epic,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
26174,14212,ADI English: 13/14 Years,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26227,4316,The Lost Files of Sherlock Holmes: The Case of the Serrated Scalpel,NULL,1992-12-31 00:00:00.000,1,NULL,NULL,NULL,89.9607,5
26338,39027,Parasol Stars: Rainbow Islands 2,NULL,1992-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26413,12754,Rubicon,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26658,11910,Archer MacLean's Pool,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26800,9942,Baseball Stars 2,"The Baseball Stars series set the early benchmark for quality baseball sports games, and introduced a number of features that have become standard in more current sports games, such as managerial control and player creation. Baseball Stars 2 built on this by introducing new batting stances, enhanced pitch control, the ability to alter field formations for enhanced coaching strategies, and a number of other features. Players can create leagues of up to 125 games, with 6 teams. Statistics are tracked over the length of the season, and players can be upgraded over time.",1992-01-15 00:00:00.000,NULL,NULL,71.0000,2,NULL,NULL
26888,11919,Ashes of Empire,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26897,44412,Kinnikuman: Dirty Challenger,NULL,1992-08-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27015,75856,Ranma ½: Hiryu Densetsu,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27046,43199,Gekibo: Gekisha Boy,NULL,1992-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27266,128862,Go Net,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27314,79963,Design Your Own Railroad,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27961,46102,Tecmo World Cup '92,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28297,40447,Taito Cup Finals,NULL,1992-06-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28337,42419,Magical Taluluto-kun: Magic Adventure,NULL,1992-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28654,93175,Objection!,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28792,91482,Dogyuun,NULL,1992-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28869,45252,Phantasy Star Gaiden,"Long ago, the evil Cablon ravaged the Copto planet, a light year away of the Algol system. When he was defeated, he was sealed on a planet discovered by Alis, the heroine of the first ""Phantasy Star"", a planet that was also known as Alisland. In this gaiden (side-story) set in Phantasy Star universe, you play the role of two young people from the village Tedo - Alec and Minina. One day, Minina finds an old artifact. While wondering what that could be, the young people learn that Alec' father was attacked and kidnapped by bandits. Determined to find him, the two heroes embark on a dangerous journey that will eventually lead them much further than they suspect.",1992-10-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28987,37681,Kyuukyoku Mahjong,NULL,1992-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29027,9644,Jill Goes Underground,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29203,136620,Ninja Gaiden,NULL,1992-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29813,48187,The Legend of Prince Valiant,NULL,1992-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29970,48954,Dodge Boy,NULL,1992-01-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29974,95496,Starfire,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29991,14263,Aquaventura,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29996,45766,Tecmo World Cup,NULL,1992-01-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30084,46704,OverKill,A pilot who has been handed a very difficult assignment to destroy the menacing alien forces that have captured six planets in a neighbouring allied solar system. The aliens have enslaved all of the inhabitants of the planets and must be killed.,1992-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30103,12532,The Carl Lewis Challenge,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30161,11875,3D World Tennis,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30227,95375,Snake Game,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30242,126444,Hydra,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30434,98196,Super Real Mahjong PII & PIII,NULL,1992-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30463,37912,Naki no Ryuu: Mahjong Hishou-den,NULL,1992-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30669,70181,Cyber Empires,NULL,1992-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31080,38212,Kikou Keisatsu Metal Jack,NULL,1992-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
